rank,id,universe_win_rate,note
1,dreamie,0.9655,
2,fraction,0.9483,
3,prolo-ring,0.8621,
4,ubo-pod,0.8448,
5,pictomic,0.8448,
6,humanecheck,0.8448,
7,lifesummary,0.7241,
8,kujietool,0.7241,
9,toolkaiser,0.7069,
10,robotin-r2,0.6638,
11,cyberdesk,0.6379,
12,cop-rights,0.6379,
13,pickup,0.4914,
14,zulni,0.4828,
15,soloist,0.4655,tied at 27/58; soloist won the head-to-head 2-0
16,clockchain,0.4655,tied at 27/58; soloist won the head-to-head 2-0
17,hply,0.4483,
18,angelry,0.3966,
19,lockguard,0.3793,
20,sale-finder,0.3621,
21,genaix,0.3621,
22,bugout-battery,0.3448,
23,rent-a-bee,0.3276,
24,hooper,0.3103,
25,remotion-ai,0.2069,
26,viaia,0.1897,
27,lumivisor,0.1897,
28,voyagx,0.1379,
29,kebo,0.0345,
30,my-story,0.0000,
