"rank","id","kind","wins","matches","win_rate"
"1","dreamie","original","93.0","96","0.968750"
"2","fraction","original","89.0","96","0.927083"
"3","pictomic","original","82.0","96","0.854167"
"4","humanecheck","original","81.0","96","0.843750"
"5","baseline-hply (L12.3)","baseline-local","81.0","96","0.843750"
"6","local-final (L12.4)","evolved-local","79.5","96","0.828125"
"7","ubo-pod","original","79.5","96","0.828125"
"8","prolo-ring","original","76.0","96","0.791667"
"9","baseline-lockguard (L12.3)","baseline-local","76.0","96","0.791667"
"10","baseline-sale-finder (L12.4)","baseline-local","73.0","96","0.760417"
"11","baseline-bugout-battery (L12.1)","baseline-local","71.0","96","0.739583"
"12","evolved-commit-runnerup (clockchain.M1.5.M2.3.M3.2.M4.4)","evolved-commit-runnerup","68.0","96","0.708333"
"13","baseline-hooper (L12.1)","baseline-local","67.0","96","0.697917"
"14","lifesummary","original","64.0","96","0.666667"
"15","evolved-champion (clockchain.M1.5.M2.3.M3.2.M4.2)","evolved-global","63.0","96","0.656250"
"16","baseline-remotion-ai (L12.3)","baseline-local","63.0","96","0.656250"
"17","evolved-commit-runnerup (clockchain.M1.5.M2.3.M3.2)","evolved-commit-runnerup","61.0","96","0.635417"
"18","toolkaiser","original","59.0","96","0.614583"
"19","baseline-rent-a-bee (L5.4)","baseline-local","59.0","96","0.614583"
"20","kujietool","original","57.0","96","0.593750"
"21","robotin-r2","original","55.5","96","0.578125"
"22","cop-rights","original","55.0","96","0.572917"
"23","cyberdesk","original","53.0","96","0.552083"
"24","baseline-genaix (L12.2)","baseline-local","52.5","96","0.546875"
"25","soloist","original","45.0","96","0.468750"
"26","baseline-angelry (L12.1)","baseline-local","45.0","96","0.468750"
"27","zulni","original","44.0","96","0.458333"
"28","baseline-viaia (L12.3)","baseline-local","44.0","96","0.458333"
"29","clockchain","original","43.0","96","0.447917"
"30","pickup","original","37.5","96","0.390625"
"31","hply","original","37.0","96","0.385417"
"32","baseline-lumivisor (L12.1)","baseline-local","34.0","96","0.354167"
"33","evolved-best-hybrid ((clockchain.M1.5X((lockguardXclockchain)...)","evolved-best-hybrid","33.0","96","0.343750"
"34","angelry","original","31.0","96","0.322917"
"35","baseline-my-story (L12.2)","baseline-local","31.0","96","0.322917"
"36","baseline-voyagx (L12.4)","baseline-local","29.0","96","0.302083"
"37","genaix","original","28.0","96","0.291667"
"38","lockguard","original","28.0","96","0.291667"
"39","sale-finder","original","28.0","96","0.291667"
"40","rent-a-bee","original","27.0","96","0.281250"
"41","hooper","original","26.0","96","0.270833"
"42","bugout-battery","original","25.0","96","0.260417"
"43","baseline-kebo (L12.4)","baseline-local","20.0","96","0.208333"
"44","viaia","original","16.0","96","0.166667"
"45","lumivisor","original","15.5","96","0.161458"
"46","remotion-ai","original","15.0","96","0.156250"
"47","voyagx","original","10.0","96","0.104167"
"48","kebo","original","2.0","96","0.020833"
"49","my-story","original","0.0","96","0.000000"
