"rank","id","kind","wins","matches","win_rate"
"1","dreamie","original","120.0","126","0.952381"
"2","humanecheck","original","105.0","126","0.833333"
"3","fraction","original","105.0","126","0.833333"
"4","local-final (L12.4)","evolved-local","104.5","126","0.829365"
"5","ubo-pod","original","104.5","126","0.829365"
"6","pictomic","original","99.0","126","0.785714"
"7","prolo-ring","original","98.0","126","0.777778"
"8","g12-s04-polished (L12.5)","polished-descendant","96.0","126","0.761905"
"9","g12-s00-polished (L12.4)","polished-descendant","93.0","126","0.738095"
"10","g12-s12-polished (L12.1)","polished-descendant","92.0","126","0.730159"
"11","g12-s10-polished (L12.1)","polished-descendant","90.0","126","0.714286"
"12","g12-s14-polished (L12.4)","polished-descendant","90.0","126","0.714286"
"13","lifesummary","original","89.0","126","0.706349"
"14","g12-s06-polished (L12.4)","polished-descendant","88.0","126","0.698413"
"15","g12-s09-polished (L12.4)","polished-descendant","88.0","126","0.698413"
"16","g12-s07-polished (L12.4)","polished-descendant","87.0","126","0.690476"
"17","evolved-commit-runnerup (clockchain.M1.5.M2.3.M3.2.M4.4)","evolved-commit-runnerup","86.0","126","0.682540"
"18","g12-s05-polished (L12.2)","polished-descendant","85.0","126","0.674603"
"19","g12-s08-polished (L12.1)","polished-descendant","85.0","126","0.674603"
"20","toolkaiser","original","84.0","126","0.666667"
"21","cop-rights","original","83.0","126","0.658730"
"22","kujietool","original","82.0","126","0.650794"
"23","g12-s13-polished (L12.4)","polished-descendant","81.0","126","0.642857"
"24","evolved-champion (clockchain.M1.5.M2.3.M3.2.M4.2)","evolved-global","80.0","126","0.634921"
"25","g12-s11-polished (L10.5)","polished-descendant","79.0","126","0.626984"
"26","evolved-commit-runnerup (clockchain.M1.5.M2.3.M3.2)","evolved-commit-runnerup","78.0","126","0.619048"
"27","robotin-r2","original","76.5","126","0.607143"
"28","cyberdesk","original","76.0","126","0.603175"
"29","g12-s01-polished (L12.3)","polished-descendant","75.0","126","0.595238"
"30","g12-s02-polished (L12.2)","polished-descendant","75.0","126","0.595238"
"31","g12-s03-polished (L9.4)","polished-descendant","71.0","126","0.563492"
"32","soloist","original","69.0","126","0.547619"
"33","clockchain","original","61.0","126","0.484127"
"34","zulni","original","59.0","126","0.468254"
"35","angelry","original","55.0","126","0.436508"
"36","hply","original","53.0","126","0.420635"
"37","lockguard","original","51.0","126","0.404762"
"38","pickup","original","50.5","126","0.400794"
"39","g12-s09-parent (step-12 rank 2)","g12-parent","49.0","126","0.388889"
"40","bugout-battery","original","48.0","126","0.380952"
"41","g12-s04-parent (step-12 rank 6)","g12-parent","46.0","126","0.365079"
"42","g12-s13-parent (step-12 rank 3)","g12-parent","46.0","126","0.365079"
"43","evolved-best-hybrid ((clockchain.M1.5X((lockguardXclockchain)...)","evolved-best-hybrid","44.0","126","0.349206"
"44","sale-finder","original","43.0","126","0.341270"
"45","g12-s02-parent (step-12 rank 8)","g12-parent","43.0","126","0.341270"
"46","hooper","original","42.0","126","0.333333"
"47","genaix","original","41.0","126","0.325397"
"48","rent-a-bee","original","40.0","126","0.317460"
"49","g12-s00-parent (step-12 rank 5)","g12-parent","40.0","126","0.317460"
"50","g12-s06-parent (step-12 rank 1)","g12-parent","39.0","126","0.309524"
"51","g12-s10-parent (step-12 rank 13)","g12-parent","37.0","126","0.293651"
"52","g12-s12-parent (step-12 rank 9)","g12-parent","37.0","126","0.293651"
"53","g12-s07-parent (step-12 rank 7)","g12-parent","34.0","126","0.269841"
"54","g12-s11-parent (step-12 rank 11)","g12-parent","34.0","126","0.269841"
"55","remotion-ai","original","33.0","126","0.261905"
"56","g12-s03-parent (step-12 rank 12)","g12-parent","32.0","126","0.253968"
"57","g12-s14-parent (step-12 rank 14)","g12-parent","32.0","126","0.253968"
"58","g12-s01-parent (step-12 rank 10)","g12-parent","31.0","126","0.246032"
"59","lumivisor","original","27.0","126","0.214286"
"60","g12-s08-parent (step-12 rank 15)","g12-parent","26.0","126","0.206349"
"61","viaia","original","23.0","126","0.182540"
"62","voyagx","original","19.0","126","0.150794"
"63","kebo","original","2.0","126","0.015873"
"64","my-story","original","0.0","126","0.000000"
