"seed_id","slot","rank","win_rate","origin","root_lineage","candidate_id"
"g12-s00","0","5","0.571429","elite","angelry,clockchain,hply,lockguard","((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3.M6.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M7.3).G8.1.M9.3.M10.3.M11.5"
"g12-s01","1","10","0.428571","elite","angelry,clockchain,genaix,hply,lockguard","(((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3.M6.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M7.3).G8.1.M9.3.M10.3X(((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M9.2X(((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M7.3.M8.2Xgenaix).G9.2).G10.3).G11.4"
"g12-s02","2","8","0.500000","elite","sale-finder","sale-finder.M1.3"
"g12-s03","3","12","0.357143","elite","angelry,clockchain,hply,lockguard","((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3.M6.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M7.3).G8.1.M9.3.M10.3"
"g12-s04","4","6","0.535714","elite","angelry,clockchain,hply,lockguard","((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3.M6.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M7.3).G8.1.M9.3.M10.3.M11.4"
"g12-s05","5","4","0.642857","mutant(((clockchain.M1.5.M2.5X((lockguar","angelry,clockchain,hply,lockguard","((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3.M6.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M7.3).G8.1.M9.3.M10.3.M11.4.M12.1"
"g12-s06","6","1","0.857143","mutant((((clockchain.M1.5.M2.5X((lockgua","angelry,clockchain,genaix,hply,lockguard","(((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3.M6.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M7.3).G8.1.M9.3.M10.3X(((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M9.2X(((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M7.3.M8.2Xgenaix).G9.2).G10.3).G11.4.M12.2"
"g12-s07","7","7","0.500000","mutant((((clockchain.M1.5.M2.5X((lockgua","angelry,clockchain,genaix,hply,lockguard","(((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3.M6.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M7.3).G8.1.M9.3.M10.3X(((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M9.2X(((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M7.3.M8.2Xgenaix).G9.2).G10.3).G11.4.M12.3"
"g12-s08","8","15","0.071429","mutant((((clockchain.M1.5.M2.5X((lockgua","angelry,clockchain,genaix,hply,lockguard","(((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M9.2X(((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M7.3.M8.2Xgenaix).G9.2).G10.3.M12.4"
"g12-s09","9","2","0.785714","mutant(((clockchain.M1.5.M2.5X((lockguar","angelry,clockchain,hply,lockguard","((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3.M6.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4.M5.3X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((clockchain.M1.5.M2.5X((lockguardXclockchain).G1.2Xhply.M1.4).G2.1).G3.4X((lockguardXclockchain).G1.2Xangelry.M1.2).G2.4.M3.1).G4.1).G5.1).G6.1.M7.3).G8.1.M9.3.M10.3.M11.5.M12.5"
