"slot_id","group","lineage_id","parent_slot_id","text_sha256","is_seed","realized_raised_usd","deepseek_win_rate","qwen_wins","qwen_matches","qwen_win_rate","qwen_minus_deepseek"
"original:toolkaiser","original","toolkaiser","","2d0bf42af985dca46d192076249f2ff225159edced765e523d11df6ed8ac9638","false","12869","0.706900","31.0","58","0.534483","-0.172417"
"original:kebo","original","kebo","","aa5f9558db21564e3a2b1ba7ab450e67d48c8dc3c36bf78e57b61b310977341e","true","715","0.034500","0.0","58","0.000000","-0.034500"
"original:kujietool","original","kujietool","","69db6f7ae6b516bfde4294aa7e7c619713dde652b97c3e29afb61b71f645217d","false","138547","0.724100","33.0","58","0.568966","-0.155134"
"original:genaix","original","genaix","","a2763eb0a850c90a9c3db2e9e5fa4a09964db60aa817ae5312bd9f83ed62fac2","true","125","0.362100","45.0","58","0.775862","0.413762"
"original:hply","original","hply","","2b9ec4f0a2c9962a51def02a800b502f5478cdb6e5dcfb6d6336e56b6e89cda7","true","6604","0.448300","37.0","58","0.637931","0.189631"
"original:pictomic","original","pictomic","","e133ba0ed3f49b5ec25f7860f9d4c1f2f7cfaa92352e24ddc1e3fbc242026551","false","2998","0.844800","26.0","58","0.448276","-0.396524"
"original:humanecheck","original","humanecheck","","5ed9c1bb776a21656f9a183c202d2ec131c28ee51b1bb262b94120d1d78249e1","false","13172","0.844800","46.0","58","0.793103","-0.051697"
"original:ubo-pod","original","ubo-pod","","168019bd98a32a5b70bbd3d571cf642c5ab036f9fb8a105c797a04a40cb31d32","false","37200","0.844800","44.0","58","0.758621","-0.086179"
"original:dreamie","original","dreamie","","ad7f5f72811c15c249462f319fa83d5e8475e7f1c8d8f800c0b38580fbe5bf4e","false","44358","0.965500","51.0","58","0.879310","-0.086190"
"original:pickup","original","pickup","","ec828e8c63ce315146acb6e429c46a9969ac598304bb7746444cd2681250629b","false","15600","0.491400","43.0","58","0.741379","0.249979"
"original:angelry","original","angelry","","9a2b3163172ed0dd22fec559790c821c9291f5e5301c5f8c794976f84a2bf15c","true","21821","0.396600","12.0","58","0.206897","-0.189703"
"original:soloist","original","soloist","","e5c3778bdcb7700aae7af216ea934e9af1195b409f47d8918c6d5a16e5e66c70","false","11165","0.465500","25.0","58","0.431034","-0.034466"
"original:cop-rights","original","cop-rights","","e8292275104e5d5c5a1bd4057c88a796515519110881d05414c8f80b242b951d","false","25","0.637900","30.0","58","0.517241","-0.120659"
"original:zulni","original","zulni","","47a4deea25663ec2640e191235bde35734ebd562418c59679737cc47e7a0b64b","false","282","0.482800","37.0","58","0.637931","0.155131"
"original:voyagx","original","voyagx","","d9a193ff6a51d00e8b26cb3178e0beb0ef707332bcd93a8f09fe3f38fd697321","true","35","0.137900","12.0","58","0.206897","0.068997"
"original:clockchain","original","clockchain","","53aff7862f42a2fa6ed3d9592cf4b898aa7e75287aeb570a7930b2ed47d80db4","true","50","0.465500","27.0","58","0.465517","0.000017"
"original:my-story","original","my-story","","42ceb839f260704e0146114892261ce378873dc829592e9df08ef6f0260ee5d8","true","808","0.000000","8.0","58","0.137931","0.137931"
"original:hooper","original","hooper","","de2d4db31657fbd2bc0a5d4fc1eac231f8a48fe37fabef7f80ba12a5c6e1617b","true","10","0.310300","19.0","58","0.327586","0.017286"
"original:lifesummary","original","lifesummary","","0a8a6fe57a7b0e4a5d0a6d0eb186271d4b0ab0e0aad3369581af7eb679c313de","false","8773","0.724100","37.0","58","0.637931","-0.086169"
"original:fraction","original","fraction","","38a892df52e4e0b84a7ea0d1fbaf9ba535f568579907894c8bafaef58a0615a3","false","428684","0.948300","57.0","58","0.982759","0.034459"
"original:cyberdesk","original","cyberdesk","","a5eb2a7a2bc9810c89b4d488eedb666abc300a8b3fc41b865a33417e909a288f","false","2245","0.637900","47.0","58","0.810345","0.172445"
"original:remotion-ai","original","remotion-ai","","a1db6a7f50f63f1e382f0276ec390d745dfcd680d68bcea160a045b6c8daf814","true","10","0.206900","13.0","58","0.224138","0.017238"
"original:lumivisor","original","lumivisor","","7417287441e403253d30caba989c9a87c36b95de1d711139f075fdfbc9d5bff9","true","20907","0.189700","2.0","58","0.034483","-0.155217"
"original:lockguard","original","lockguard","","85586363742e7fad98837786cac3e08b5153593f61259922f220c27b576993f8","true","752","0.379300","23.0","58","0.396552","0.017252"
"original:rent-a-bee","original","rent-a-bee","","a7c6204eb60db33593223d9c9797511d942dcba156803109bf96e52826bdabe5","true","573","0.327600","33.0","58","0.568966","0.241366"
"original:prolo-ring","original","prolo-ring","","b0a8919ffab7e27b2f6225182dd761f3d5e6e75f4463bd4a5d720d6ed475bde2","false","481926","0.862100","47.0","58","0.810345","-0.051755"
"original:viaia","original","viaia","","60245d6c6a51078aecaf432c550820b42dfdb42b75bd0d88c26865c5dcf681d7","true","14","0.189700","7.0","58","0.120690","-0.069010"
"original:sale-finder","original","sale-finder","","99a71556f4da16dc0514ab1318c580866b639a23ebca1f263f91032738283bb2","true","195","0.362100","19.0","58","0.327586","-0.034514"
"original:robotin-r2","original","robotin-r2","","11dd1ff97c27a5f0abe66777b3d339935692c516dd1b68b712d1db295b02433d","false","74373","0.663800","43.0","58","0.741379","0.077579"
"original:bugout-battery","original","bugout-battery","","16027f289600dd624cccc54df40acdeec53500deb99302a6a427d617baebcea0","true","451","0.344800","16.0","58","0.275862","-0.068938"
"global-final:g12-s00","global_final","g12-s00","","32e29848e1c2dce8c63fa448c1dfc1617a24276122d991e090b2388763199fec","false","","0.383300","37.0","60","0.616667","0.233367"
"polished:g12-s00","polished","g12-s00","global-final:g12-s00","97d6fe74e9110a816c2baa900dbc8d281ef575e395321f88d08004f48c6f8b5a","false","","0.683300","51.0","60","0.850000","0.166700"
"global-final:g12-s01","global_final","g12-s01","","59898d3c8cf8f22980797e63a95c53dfcbcdbfcaddf645144daf9557354c9498","false","","0.283300","39.0","60","0.650000","0.366700"
"polished:g12-s01","polished","g12-s01","global-final:g12-s01","70ee92e4340640c3ba8318e6bba3e8e4b1340db6676957e950cf0736fa9c253e","false","","0.533300","46.0","60","0.766667","0.233367"
"global-final:g12-s02","global_final","g12-s02","","cfd991cdea9ae5cb0c0049ad216493ee11bc114fc5e0f2c030f637474670a7fb","false","","0.350000","30.0","60","0.500000","0.150000"
"polished:g12-s02","polished","g12-s02","global-final:g12-s02","70dccdc1c7eb69f040d1158ed03d104f8fa5984b7b393427a1a922f1702be8ea","false","","0.633300","33.0","60","0.550000","-0.083300"
"global-final:g12-s03","global_final","g12-s03","","4357db93fbd5fad3f9bc4d8189393e6ce866271b6378ea2ae506078ff59c96c3","false","","0.366700","41.0","60","0.683333","0.316633"
"polished:g12-s03","polished","g12-s03","global-final:g12-s03","e341fd3f2e290d5b544a15985ed22a2bc8b335aa133fb09fae91512dd74ddd0b","false","","0.550000","50.0","60","0.833333","0.283333"
"global-final:g12-s04","global_final","g12-s04","","5bfa3529386b2a276f332d07f177a6e6904db348e7a3b50c7ddf1f0a6817e825","false","","0.400000","44.0","60","0.733333","0.333333"
"polished:g12-s04","polished","g12-s04","global-final:g12-s04","9cac891a79f5a39ad2f5fac3e79b7b6c0a31367b14ab0cc6aaed9b3ffc4dee1f","false","","0.733300","48.0","60","0.800000","0.066700"
"global-final:g12-s05","global_final","g12-s05","","5bfa3529386b2a276f332d07f177a6e6904db348e7a3b50c7ddf1f0a6817e825","false","","0.400000","44.0","60","0.733333","0.333333"
"polished:g12-s05","polished","g12-s05","global-final:g12-s05","e60d6b445f082c9b9637708b24a992052f983bf69f75545e3bbc208d6b989fc4","false","","0.666700","45.0","60","0.750000","0.083300"
"global-final:g12-s06","global_final","g12-s06","","55486248a5eda9b096875ada8f18492d89b02558daf8dbf09a51cf82476324f6","false","","0.266700","49.0","60","0.816667","0.549967"
"polished:g12-s06","polished","g12-s06","global-final:g12-s06","426b13eba581f2d484ede53ecf8c05dabfd9e4cb78764ce62af8f373b7ca1e7d","false","","0.616700","49.0","60","0.816667","0.199967"
